PLD,LCD,LCD/PLD,SA,Porosity,PV,C%,H%,N%,O%,Metal %,Halogen %,TDU,KCH4,NCH4 1 Bar (mol/kg)
6.25728,8.85063,1.414453245,1513.41,0.6165,0.683056325,45.61403509,31.57894737,14.03508772,7.01754386,1.754385965,0,817,1.08E-05,0.51159228
6.2555,9.00205,1.439061626,1544.35,0.61652,0.689947682,45.61403509,31.57894737,14.03508772,7.01754386,1.754385965,0,817,0.000010873,0.517725113
7.27063,12.32132,1.694670201,4229.76,0.79122,1.470005184,50.60240964,28.91566265,2.409638554,14.45783133,3.614457831,0,481,7.60E-06,0.371908874
6.27917,6.56282,1.045173168,1383.64,0.61276,0.589748032,57.14285714,0,0,35.71428571,7.142857143,0,769,6.40E-06,0.297885592
4.32918,9.00116,2.079183587,2211.93,0.67476,0.751965836,43.90243902,29.26829268,0,19.51219512,4.87804878,0,577,2.34E-05,0.887875003
5.3133,5.72633,1.077735118,812.745,0.49472,0.478549802,54.54545455,36.36363636,0,7.272727273,1.818181818,0,721,2.26E-05,0.866559818
5.9183,9.52144,1.608813342,2357.12,0.67852,0.81880011,46.80851064,34.04255319,12.76595745,4.255319149,2.127659574,0,897,1.53E-05,0.658085747
4.73321,7.16113,1.512954211,794.486,0.52734,0.458217839,50.66666667,30.66666667,8,8,2.666666667,0,849,1.49E-05,0.584349856
5.70377,6.40025,1.122108711,1508.87,0.63598,0.523405866,45.45454545,9.090909091,0,36.36363636,9.090909091,0,865,1.11E-05,0.503746668
5.8507,10.41989,1.780964671,2796.15,0.72036,0.921342595,50,22.72727273,2.272727273,18.18181818,4.545454545,2.272727273,817,1.50E-05,0.680792137
5.75428,10.54748,1.832979973,2567.95,0.70918,0.858693059,48.88888889,22.22222222,2.222222222,17.77777778,4.444444444,4.444444444,817,1.51E-05,0.683930636
6.2198,7.47545,1.201879482,6876.67,0.77906,1.665309298,43.07692308,43.07692308,12.30769231,0,1.538461538,0,673,1.09E-05,0.531648411
8.16815,10.52737,1.28883162,3199.68,0.73192,1.01319793,55.94405594,30.76923077,0,11.18881119,2.097902098,0,929,1.83E-05,0.802172394
8.1108,10.25531,1.264401785,3116.37,0.72418,0.964116874,55.94405594,30.76923077,0,11.18881119,2.097902098,0,929,2.05E-05,0.883009873
7.74023,10.53968,1.361675299,3228.28,0.74936,1.089765777,55.94405594,30.76923077,0,11.18881119,2.097902098,0,465,1.19E-05,0.556374571
3.88543,4.88713,1.257809303,369.672,0.4621,0.280352853,22.22222222,22.22222222,0,44.44444444,11.11111111,0,217,5.44E-06,0.249100632
