PLD,LCD,LCD/PLD,ASA,Porosity,PV,C%,H%,N%,O%,Metal%,Halogen%,TDU,KCH4,NCH4 0.1 Bar (mol/kg)
10.59979,11.41407,1.08,1239.07,0.64844,0.540497287,44.44444444,11.11111111,0,33.33333333,11.11111111,0,1009.00,5.40223E-06,0.026984097
10.7235,11.51533,1.07,1239.1,0.65144,0.543410077,44.44444444,11.11111111,0,33.33333333,11.11111111,0,1009.00,5.49518E-06,0.027524519
5.62446,9.38408,1.67,1645.73,0.68264,0.656649801,37.87878788,22.72727273,15.15151515,15.15151515,9.090909091,0,631.00,5.44742E-06,0.02712272
10.54479,11.3608,1.08,1239.59,0.64786,0.5401399,44.44444444,11.11111111,0,33.33333333,11.11111111,0,1009.00,5.29669E-06,0.026579673
5.3868,5.98273,1.11,1825.78,0.6472,0.547657731,46.15384615,19.23076923,5.769230769,23.07692308,5.769230769,0,609.00,1.23575E-05,0.062281886
8.62816,8.89536,1.03,2010.8,0.68672,0.819724379,40,32,24,0,4,0,385.00,1.19037E-05,0.059179111
6.98768,7.45121,1.07,1648.25,0.64758,0.685021204,40,32,24,0,4,0,577.00,1.47305E-05,0.073233975
5.04419,5.6675,1.12,775.814,0.56556,0.483880903,40,32,24,0,4,0,577.00,1.91278E-05,0.09255351
3.95176,6.01834,1.52,992.855,0.5848,0.505764225,42.85714286,14.28571429,0,28.57142857,7.142857143,0,961.00,1.48649E-05,0.073283993
4.30595,6.18036,1.44,1044.18,0.58002,0.495756301,46.47887324,33.8028169,0,16.90140845,2.816901408,0,505.00,5.14908E-05,0.241815309
5.15676,8.28593,1.61,2392.11,0.68804,0.803629203,46.47887324,33.8028169,0,16.90140845,2.816901408,0,505.00,1.22974E-05,0.060821052
5.0837,6.42024,1.26,470.525,0.45748,0.257256931,43.47826087,8.695652174,0,39.13043478,8.695652174,0,865.00,1.08545E-05,0.052751035
4.61254,5.76705,1.25,719.64,0.51364,0.337698882,45.45454545,25,4.545454545,20.45454545,4.545454545,0,697.00,1.47044E-05,0.072989752
7.73483,9.7655,1.26,2432.48,0.6857,0.942650502,52.63157895,33.91812865,4.678362573,7.01754386,1.754385965,0,977.00,0.000015002,0.073771903
7.27061,12.53569,1.72,2689.4,0.71196,1.078766501,52.63157895,33.91812865,4.678362573,7.01754386,1.754385965,0,977.00,1.12622E-05,0.056152058
7.22634,12.40052,1.72,2664.77,0.70856,1.06380008,52.63157895,33.91812865,4.678362573,7.01754386,1.754385965,0,977.00,1.13765E-05,0.056327249
6.25728,8.85063,1.41,1513.41,0.6165,0.683056325,45.61403509,31.57894737,14.03508772,7.01754386,1.754385965,0,817.00,1.07686E-05,0.053724053
6.2555,9.00205,1.44,1544.35,0.61652,0.689947682,45.61403509,31.57894737,14.03508772,7.01754386,1.754385965,0,817.00,0.000010873,0.053770104
7.27063,12.32132,1.69,4229.76,0.79122,1.470005184,50.60240964,28.91566265,2.409638554,14.45783133,3.614457831,0,481.00,7.60239E-06,0.038038207
6.27917,6.56282,1.05,1383.64,0.61276,0.589748032,57.14285714,0,0,35.71428571,7.142857143,0,769.00,6.4033E-06,0.031900025
4.32918,9.00116,2.08,2211.93,0.67476,0.751965836,43.90243902,29.26829268,0,19.51219512,4.87804878,0,577.00,2.34459E-05,0.113087723
5.3133,5.72633,1.08,812.745,0.49472,0.478549802,54.54545455,36.36363636,0,7.272727273,1.818181818,0,721.00,2.25558E-05,0.109545754
5.9183,9.52144,1.61,2357.12,0.67852,0.81880011,46.80851064,34.04255319,12.76595745,4.255319149,2.127659574,0,897.00,1.53174E-05,0.07532716
4.73321,7.16113,1.51,794.486,0.52734,0.458217839,50.66666667,30.66666667,8,8,2.666666667,0,849.00,1.48504E-05,0.071931028
5.70377,6.40025,1.12,1508.87,0.63598,0.523405866,45.45454545,9.090909091,0,36.36363636,9.090909091,0,865.00,1.11305E-05,0.055257542
5.8507,10.41989,1.78,2796.15,0.72036,0.921342595,50,22.72727273,2.272727273,18.18181818,4.545454545,2.272727273,817.00,1.50243E-05,0.074282404
5.75428,10.54748,1.83,2567.95,0.70918,0.858693059,48.88888889,22.22222222,2.222222222,17.77777778,4.444444444,4.444444444,817.00,1.50749E-05,0.074984838
6.2198,7.47545,1.20,6876.67,0.77906,1.665309298,43.07692308,43.07692308,12.30769231,0,1.538461538,0,673.00,1.09193E-05,0.055261208
8.16815,10.52737,1.29,3199.68,0.73192,1.01319793,55.94405594,30.76923077,0,11.18881119,2.097902098,0,929.00,1.82882E-05,0.090642856
8.1108,10.25531,1.26,3116.37,0.72418,0.964116874,55.94405594,30.76923077,0,11.18881119,2.097902098,0,929.00,2.04652E-05,0.101444216
7.74023,10.53968,1.36,3228.28,0.74936,1.089765777,55.94405594,30.76923077,0,11.18881119,2.097902098,0,465.00,1.18718E-05,0.059541367
3.88543,4.88713,1.26,369.672,0.4621,0.280352853,22.22222222,22.22222222,0,44.44444444,11.11111111,0,217.00,5.43617E-06,0.027049095
3.95303,4.75824,1.20,372.087,0.4557,0.274075589,22.22222222,22.22222222,0,44.44444444,11.11111111,0,217.00,5.3124E-06,0.026472359
4.01813,5.12784,1.28,470.1,0.48134,0.302214465,22.22222222,22.22222222,0,44.44444444,11.11111111,0,217.00,5.54123E-06,0.027352472
